X;Y;AVERAGE_GRADE
1694.00000;682.00000;2.89571
1738.00000;682.00000;2.89478
1782.00000;682.00000;2.98021
1826.00000;682.00000;3.30333
66.00000;726.00000;2.96909
110.00000;726.00000;3.34315
154.00000;726.00000;3.64488
198.00000;726.00000;3.91135
242.00000;726.00000;4.10763
286.00000;726.00000;4.16526
330.00000;726.00000;4.02563
374.00000;726.00000;2.73080
418.00000;726.00000;2.00882
462.00000;726.00000;1.41059
506.00000;726.00000;1.55777
550.00000;726.00000;1.63914
594.00000;726.00000;1.68126
638.00000;726.00000;1.66180
682.00000;726.00000;1.57315
726.00000;726.00000;2.01670
770.00000;726.00000;2.24525
814.00000;726.00000;2.36912
858.00000;726.00000;2.31399
902.00000;726.00000;2.52257
946.00000;726.00000;3.09120
990.00000;726.00000;3.55342
1034.00000;726.00000;4.35496
1078.00000;726.00000;5.16874
1122.00000;726.00000;5.23659
1166.00000;726.00000;4.08772
1210.00000;726.00000;3.19014
1254.00000;726.00000;2.51212
1298.00000;726.00000;1.95389
1342.00000;726.00000;1.84705
1386.00000;726.00000;2.22467
1430.00000;726.00000;2.53909
1474.00000;726.00000;2.78856
1518.00000;726.00000;2.85683
1562.00000;726.00000;2.88159
1606.00000;726.00000;2.81698
1650.00000;726.00000;2.81110
1694.00000;726.00000;2.97251
1738.00000;726.00000;2.88824
1782.00000;726.00000;2.96879
1826.00000;726.00000;3.15835
66.00000;770.00000;2.76424
110.00000;770.00000;3.15360
154.00000;770.00000;3.57832
198.00000;770.00000;4.00594
242.00000;770.00000;4.34199
286.00000;770.00000;4.55424
330.00000;770.00000;4.57256
374.00000;770.00000;3.31266
418.00000;770.00000;2.34282
462.00000;770.00000;1.36564
506.00000;770.00000;1.42982
550.00000;770.00000;1.60570
594.00000;770.00000;1.75270
638.00000;770.00000;1.85933
682.00000;770.00000;1.85575
726.00000;770.00000;2.39350
770.00000;770.00000;2.76842
814.00000;770.00000;3.01582
858.00000;770.00000;2.98308
902.00000;770.00000;3.14423
946.00000;770.00000;3.46210
990.00000;770.00000;3.84124
1034.00000;770.00000;4.45330
1078.00000;770.00000;5.11476
1122.00000;770.00000;5.48136
1166.00000;770.00000;4.26631
1210.00000;770.00000;3.09229
1254.00000;770.00000;2.17705
1298.00000;770.00000;1.68593
1342.00000;770.00000;1.63531
1386.00000;770.00000;1.97570
1430.00000;770.00000;2.32522
1474.00000;770.00000;2.66336
1518.00000;770.00000;2.88943
1562.00000;770.00000;2.90519
1606.00000;770.00000;2.78499
1650.00000;770.00000;2.76621
1694.00000;770.00000;2.84496
1738.00000;770.00000;2.90664
1782.00000;770.00000;2.98602
1826.00000;770.00000;3.19826
66.00000;814.00000;2.43455
110.00000;814.00000;2.85346
154.00000;814.00000;3.31068
198.00000;814.00000;3.69321
242.00000;814.00000;4.10480
286.00000;814.00000;4.58344
330.00000;814.00000;4.99165
374.00000;814.00000;4.09169
418.00000;814.00000;3.11586
462.00000;814.00000;2.08473
506.00000;814.00000;1.87112
550.00000;814.00000;1.82619
594.00000;814.00000;1.86177
638.00000;814.00000;1.96967
682.00000;814.00000;2.09140
726.00000;814.00000;2.60388
770.00000;814.00000;3.12452
814.00000;814.00000;3.62328
858.00000;814.00000;3.76435
902.00000;814.00000;3.53821
946.00000;814.00000;3.87147
990.00000;814.00000;4.04804
1034.00000;814.00000;4.39870
1078.00000;814.00000;4.48443
1122.00000;814.00000;4.94604
1166.00000;814.00000;4.12336
1210.00000;814.00000;2.97227
1254.00000;814.00000;1.89025
1298.00000;814.00000;1.43454
1342.00000;814.00000;1.20393
1386.00000;814.00000;1.69454
1430.00000;814.00000;2.11779
1474.00000;814.00000;2.51526
1518.00000;814.00000;2.82963
1562.00000;814.00000;2.93596
1606.00000;814.00000;2.75975
1650.00000;814.00000;2.71075
1694.00000;814.00000;2.82961
1738.00000;814.00000;2.93605
1782.00000;814.00000;3.02428
1826.00000;814.00000;3.25291
66.00000;858.00000;2.32721
110.00000;858.00000;3.01795
154.00000;858.00000;3.01632
198.00000;858.00000;3.53588
242.00000;858.00000;3.97768
286.00000;858.00000;4.86608
330.00000;858.00000;4.86836
374.00000;858.00000;4.59851
418.00000;858.00000;3.81703
462.00000;858.00000;2.93253
506.00000;858.00000;2.74726
550.00000;858.00000;2.63993
594.00000;858.00000;2.64153
638.00000;858.00000;2.64993
682.00000;858.00000;2.63865
726.00000;858.00000;3.05598
770.00000;858.00000;3.47138
814.00000;858.00000;3.98156
858.00000;858.00000;4.39947
902.00000;858.00000;5.03677
946.00000;858.00000;4.22306
990.00000;858.00000;4.26647
1034.00000;858.00000;4.41036
1078.00000;858.00000;4.19146
1122.00000;858.00000;4.09491
1166.00000;858.00000;3.64219
1210.00000;858.00000;2.96567
1254.00000;858.00000;1.60564
1298.00000;858.00000;0.56863
1342.00000;858.00000;0.64480
1386.00000;858.00000;1.48218
