X;Y;AVERAGE_GRADE
37.50000;4.50000;0.75319
38.50000;4.50000;0.79390
39.50000;4.50000;0.83912
40.50000;4.50000;0.88597
41.50000;4.50000;0.91611
42.50000;4.50000;1.06782
43.50000;4.50000;1.27780
44.50000;4.50000;1.56579
45.50000;4.50000;1.81185
1.50000;5.50000;4.92497
2.50000;5.50000;4.36675
3.50000;5.50000;3.75245
4.50000;5.50000;3.09055
5.50000;5.50000;2.41771
6.50000;5.50000;1.78207
7.50000;5.50000;1.23551
8.50000;5.50000;0.93412
9.50000;5.50000;0.69760
10.50000;5.50000;0.56459
11.50000;5.50000;0.48254
12.50000;5.50000;0.41613
13.50000;5.50000;0.40891
14.50000;5.50000;0.54655
15.50000;5.50000;0.28057
16.50000;5.50000;0.26892
17.50000;5.50000;0.25350
18.50000;5.50000;0.23390
19.50000;5.50000;0.22682
20.50000;5.50000;0.38887
21.50000;5.50000;0.52345
22.50000;5.50000;0.55743
23.50000;5.50000;0.63860
24.50000;5.50000;0.71007
25.50000;5.50000;0.89937
26.50000;5.50000;1.01976
27.50000;5.50000;1.12551
28.50000;5.50000;1.21317
29.50000;5.50000;1.28776
30.50000;5.50000;1.34634
31.50000;5.50000;1.36422
32.50000;5.50000;1.33651
33.50000;5.50000;1.22054
34.50000;5.50000;1.08663
35.50000;5.50000;0.95870
36.50000;5.50000;0.71205
37.50000;5.50000;0.76775
38.50000;5.50000;0.82482
39.50000;5.50000;0.88935
40.50000;5.50000;0.95745
41.50000;5.50000;1.02554
42.50000;5.50000;1.16605
43.50000;5.50000;1.37651
44.50000;5.50000;1.69946
45.50000;5.50000;1.93489
46.50000;5.50000;2.18529
47.50000;5.50000;2.39714
1.50000;6.50000;6.17385
2.50000;6.50000;5.45112
3.50000;6.50000;4.64871
4.50000;6.50000;3.79974
5.50000;6.50000;2.95624
6.50000;6.50000;2.17994
7.50000;6.50000;1.53285
8.50000;6.50000;1.10394
9.50000;6.50000;0.87042
10.50000;6.50000;0.72219
11.50000;6.50000;0.60823
