X;Y;AVERAGE_GRADE
1.45000;1.55000;12.81169
1.55000;1.55000;14.52425
1.65000;1.55000;16.93378
1.75000;1.55000;19.59516
1.85000;1.55000;22.07941
1.95000;1.55000;22.13344
2.05000;1.55000;21.23680
2.15000;1.55000;20.21071
2.25000;1.55000;19.04231
0.95000;1.65000;6.32637
1.05000;1.65000;7.28735
1.15000;1.65000;8.52215
1.25000;1.65000;10.20033
1.35000;1.65000;11.79085
1.45000;1.65000;13.46712
1.55000;1.65000;15.07282
1.65000;1.65000;16.68382
1.75000;1.65000;18.24654
1.85000;1.65000;19.66188
1.95000;1.65000;19.67006
2.05000;1.65000;19.26582
2.15000;1.65000;18.54860
2.25000;1.65000;17.36672
0.95000;1.75000;6.88537
1.05000;1.75000;7.60688
1.15000;1.75000;8.74786
1.25000;1.75000;10.57486
1.35000;1.75000;12.34971
1.45000;1.75000;14.07746
1.55000;1.75000;15.47627
1.65000;1.75000;16.99733
1.75000;1.75000;18.47688
1.85000;1.75000;19.62343
1.95000;1.75000;19.66286
2.05000;1.75000;19.27594
2.15000;1.75000;18.28140
2.25000;1.75000;16.78954
2.35000;1.75000;15.49826
1.05000;1.85000;7.69067
1.15000;1.85000;8.71423
1.25000;1.85000;10.96802
1.35000;1.85000;13.19207
1.45000;1.85000;14.72784
1.55000;1.85000;16.02106
1.65000;1.85000;17.61933
1.75000;1.85000;18.68261
1.85000;1.85000;19.74142
1.95000;1.85000;19.66754
2.05000;1.85000;19.26314
2.15000;1.85000;18.24556
2.25000;1.85000;16.18675
2.35000;1.85000;14.50613
1.05000;1.95000;8.40754
1.15000;1.95000;9.24521
1.25000;1.95000;11.23112
1.35000;1.95000;13.15721
1.45000;1.95000;15.03654
1.55000;1.95000;16.59555
1.65000;1.95000;17.85080
1.75000;1.95000;19.09117
1.85000;1.95000;20.18772
1.95000;1.95000;20.35763
2.05000;1.95000;20.04628
2.15000;1.95000;18.97434
2.25000;1.95000;17.05145
2.35000;1.95000;15.45295
2.45000;1.95000;12.71682
1.05000;2.05000;9.10630
1.15000;2.05000;9.85351
1.25000;2.05000;11.36676
1.35000;2.05000;12.85480
1.45000;2.05000;15.03217
1.55000;2.05000;17.08938
1.65000;2.05000;18.76349
1.75000;2.05000;19.85446
1.85000;2.05000;20.99582
1.95000;2.05000;21.29109
2.05000;2.05000;21.18053
2.15000;2.05000;20.17765
2.25000;2.05000;18.50365
2.35000;2.05000;17.11445
2.45000;2.05000;13.37562
2.55000;2.05000;9.48357
1.05000;2.15000;9.62497
1.15000;2.15000;10.26740
1.25000;2.15000;11.61553
1.35000;2.15000;12.97024
1.45000;2.15000;15.25706
1.55000;2.15000;17.54835
1.65000;2.15000;19.08558
1.75000;2.15000;20.55573
1.85000;2.15000;21.65167
1.95000;2.15000;21.77640
2.05000;2.15000;21.67449
2.15000;2.15000;20.53804
2.25000;2.15000;18.67934
2.35000;2.15000;17.22199
2.45000;2.15000;13.05369
2.55000;2.15000;8.66594
1.05000;2.25000;9.72768
1.15000;2.25000;10.48950
1.25000;2.25000;12.12420
1.35000;2.25000;13.83345
1.45000;2.25000;15.98532
1.55000;2.25000;17.76258
1.65000;2.25000;19.42333
1.75000;2.25000;20.36129
1.85000;2.25000;21.24070
1.95000;2.25000;21.07672
2.05000;2.25000;20.52099
2.15000;2.25000;18.82873
2.25000;2.25000;16.20375
2.35000;2.25000;13.77538
2.45000;2.25000;10.68945
2.55000;2.25000;8.09892
1.05000;2.35000;9.64860
1.15000;2.35000;10.44663
1.25000;2.35000;12.62685
1.35000;2.35000;14.98908
1.45000;2.35000;16.68979
1.55000;2.35000;18.07959
1.65000;2.35000;19.32060
1.75000;2.35000;20.17080
1.85000;2.35000;20.95184
1.95000;2.35000;20.35977
2.05000;2.35000;19.35357
2.15000;2.35000;17.44064
2.25000;2.35000;13.74377
2.35000;2.35000;9.97426
2.45000;2.35000;8.37748
2.55000;2.35000;7.36025
1.15000;2.45000;9.97352
1.25000;2.45000;12.52831
1.35000;2.45000;15.13390
1.45000;2.45000;16.97795
1.55000;2.45000;18.18857
1.65000;2.45000;19.37951
1.75000;2.45000;20.25316
1.85000;2.45000;21.06293
1.95000;2.45000;19.23928
2.05000;2.45000;17.31380
2.15000;2.45000;15.10601
2.25000;2.45000;12.14219
2.35000;2.45000;9.17080
2.45000;2.45000;8.02785
2.55000;2.45000;7.67941
1.15000;2.55000;9.06729
1.25000;2.55000;12.09049
1.35000;2.55000;15.09618
1.45000;2.55000;17.01395
