X;Y;AVERAGE_GRADE
1.95000;2.85000;11.42240
2.05000;2.85000;11.36490
2.15000;2.85000;11.34961
2.25000;2.85000;11.41768
2.35000;2.85000;11.50342
2.45000;2.85000;11.03693
1.15000;2.95000;12.58141
1.25000;2.95000;13.38902
1.35000;2.95000;14.19606
1.45000;2.95000;13.69267
1.55000;2.95000;12.78947
1.65000;2.95000;12.08466
1.75000;2.95000;11.84163
1.85000;2.95000;11.58913
1.95000;2.95000;11.53925
2.05000;2.95000;11.63304
2.15000;2.95000;11.73660
2.25000;2.95000;11.81563
2.35000;2.95000;11.89620
2.45000;2.95000;11.59592
1.25000;3.05000;13.04387
1.35000;3.05000;13.81922
1.45000;3.05000;13.69009
1.55000;3.05000;13.29687
1.65000;3.05000;12.74898
1.75000;3.05000;12.16451
1.85000;3.05000;11.65848
1.95000;3.05000;11.69710
2.05000;3.05000;11.97152
2.15000;3.05000;12.16742
2.25000;3.05000;12.20215
2.35000;3.05000;12.24668
2.45000;3.05000;11.73444
1.25000;3.15000;12.80323
1.35000;3.15000;13.58534
1.45000;3.15000;13.72376
1.55000;3.15000;13.69879
1.65000;3.15000;13.39247
1.75000;3.15000;12.62013
1.85000;3.15000;11.83183
1.95000;3.15000;11.93258
2.05000;3.15000;12.24771
2.15000;3.15000;12.46034
2.25000;3.15000;12.48728
2.35000;3.15000;12.54095
1.25000;3.25000;12.93296
1.35000;3.25000;13.41488
1.45000;3.25000;13.73208
1.55000;3.25000;13.91221
1.65000;3.25000;13.71417
1.75000;3.25000;13.08652
1.85000;3.25000;12.50607
1.95000;3.25000;12.24439
2.05000;3.25000;12.20563
2.15000;3.25000;12.34957
2.25000;3.25000;12.57350
2.35000;3.25000;12.74617
1.35000;3.35000;13.20270
1.45000;3.35000;13.57404
1.55000;3.35000;14.07223
1.65000;3.35000;14.14949
1.75000;3.35000;13.56944
1.85000;3.35000;13.09785
1.95000;3.35000;12.57822
2.05000;3.35000;12.12516
2.15000;3.35000;12.27225
2.25000;3.35000;12.72077
2.35000;3.35000;13.01604
1.35000;3.45000;13.16051
1.45000;3.45000;13.49612
1.55000;3.45000;13.92706
1.65000;3.45000;14.06852
1.75000;3.45000;13.72511
1.85000;3.45000;13.41844
1.95000;3.45000;13.01010
2.05000;3.45000;12.62046
2.15000;3.45000;12.73063
2.25000;3.45000;13.10663
2.35000;3.45000;13.35028
1.45000;3.55000;13.40670
1.55000;3.55000;13.60033
1.65000;3.55000;13.70227
1.75000;3.55000;13.64593
1.85000;3.55000;13.57917
1.95000;3.55000;13.43189
2.05000;3.55000;13.34782
2.15000;3.55000;13.47083
2.25000;3.55000;13.75063
2.35000;3.55000;13.97010
1.45000;3.65000;14.14413
1.55000;3.65000;13.91682
1.65000;3.65000;13.78143
1.75000;3.65000;13.86962
1.85000;3.65000;13.74073
1.95000;3.65000;13.77176
2.05000;3.65000;13.77875
2.15000;3.65000;13.84109
2.25000;3.65000;14.06351
2.35000;3.65000;14.32993
1.55000;3.75000;15.11849
1.65000;3.75000;14.98762
1.75000;3.75000;14.60281
1.85000;3.75000;14.01160
1.95000;3.75000;13.78090
2.05000;3.75000;13.41761
2.15000;3.75000;13.34191
2.25000;3.75000;13.62420
1.55000;3.85000;16.33016
1.65000;3.85000;16.32168
1.75000;3.85000;15.35407
1.85000;3.85000;14.41374
1.95000;3.85000;13.79720
2.05000;3.85000;13.04209
2.15000;3.85000;12.71860
2.25000;3.85000;13.17820
1.55000;3.95000;16.44996
1.65000;3.95000;16.34726
1.75000;3.95000;15.49759
1.85000;3.95000;14.60212
1.95000;3.95000;13.92552
2.05000;3.95000;13.13920
2.15000;3.95000;12.70545
2.25000;3.95000;13.11333
1.65000;4.05000;15.66875
1.75000;4.05000;15.22020
1.85000;4.05000;14.67994
